claim_id,value_script
appd_pooled_direct_interaction,0.008916643308603906
appd_pooled_direct_interaction_se,0.007336803055710931
appd_pooled_indirect_interaction,0.007264028258179183
appd_pooled_indirect_interaction_se,0.006839198016061598
c1_label_n_adjacent,49
c1_label_n_treated,23
c1_margin_m1_adjacent_coef,-9.242
c1_margin_m1_adjacent_se,27.305
c1_margin_m1_constant_coef,-95.074
c1_margin_m1_constant_se,23.803
c1_margin_m1_n,88
c1_margin_m1_r2,0.015
c1_margin_m1_treated_coef,15.582
c1_margin_m1_treated_se,28.327
c1_margin_m2_adjacent_coef,11.713
c1_margin_m2_adjacent_se,17.885
c1_margin_m2_constant_coef,-60.879
c1_margin_m2_constant_se,15.423
c1_margin_m2_n,88
c1_margin_m2_r2,0.666
c1_margin_m2_treated_coef,34.786
c1_margin_m2_treated_se,18.207
c1_turnout_m1_adjacent_coef,110.329
c1_turnout_m1_adjacent_se,52.796
c1_turnout_m1_constant_coef,448.835
c1_turnout_m1_constant_se,34.762
c1_turnout_m1_n,88
c1_turnout_m1_r2,0.066
c1_turnout_m1_treated_coef,53.002
c1_turnout_m1_treated_se,48.748
c1_turnout_m2_adjacent_coef,11.914
c1_turnout_m2_adjacent_se,11.759
c1_turnout_m2_constant_coef,32.504
c1_turnout_m2_constant_se,19.343
c1_turnout_m2_n,88
c1_turnout_m2_r2,0.959
c1_turnout_m2_treated_coef,10.331
c1_turnout_m2_treated_se,15.741
c2_label_n_adjacent,41
c2_label_n_treated,15
c2_margin_m1_adjacent_coef,34.97
c2_margin_m1_adjacent_se,14.896
c2_margin_m1_constant_coef,22.642
c2_margin_m1_constant_se,12.294
c2_margin_m1_n,69
c2_margin_m1_r2,0.087
c2_margin_m1_treated_coef,21.495
c2_margin_m1_treated_se,19.694
c2_margin_m2_adjacent_coef,14.44
c2_margin_m2_adjacent_se,9.834
c2_margin_m2_constant_coef,-20.217
c2_margin_m2_constant_se,16.556
c2_margin_m2_n,69
c2_margin_m2_r2,0.556
c2_margin_m2_treated_coef,-2.839
c2_margin_m2_treated_se,14.972
c2_turnout_m1_adjacent_coef,44.038
c2_turnout_m1_adjacent_se,19.682
c2_turnout_m1_constant_coef,83.329
c2_turnout_m1_constant_se,16.506
c2_turnout_m1_n,69
c2_turnout_m1_r2,0.095
c2_turnout_m1_treated_coef,37.614
c2_turnout_m1_treated_se,26.008
c2_turnout_m2_adjacent_coef,14.943
c2_turnout_m2_adjacent_se,14.808
c2_turnout_m2_constant_coef,-42.177
c2_turnout_m2_constant_se,16.529
c2_turnout_m2_n,69
c2_turnout_m2_r2,0.702
c2_turnout_m2_treated_coef,5.985
c2_turnout_m2_treated_se,15.442
c3_label_n_adjacent,76
c3_label_n_treated,30
c3_margin_m1_adjacent_coef,72.074
c3_margin_m1_adjacent_se,39.568
c3_margin_m1_constant_coef,-436.675
c3_margin_m1_constant_se,33.171
c3_margin_m1_n,131
c3_margin_m1_r2,0.043
c3_margin_m1_treated_coef,84.697
c3_margin_m1_treated_se,47.141
c3_margin_m2_adjacent_coef,34.385
c3_margin_m2_adjacent_se,32.779
c3_margin_m2_constant_coef,-256.773
c3_margin_m2_constant_se,38.569
c3_margin_m2_n,131
c3_margin_m2_r2,0.652
c3_margin_m2_treated_coef,45.304
c3_margin_m2_treated_se,34.952
c3_turnout_m1_adjacent_coef,35.978
c3_turnout_m1_adjacent_se,96.364
c3_turnout_m1_constant_coef,1141.189
c3_turnout_m1_constant_se,87.706
c3_turnout_m1_n,131
c3_turnout_m1_r2,0.003
c3_turnout_m1_treated_coef,-11.279
c3_turnout_m1_treated_se,104.825
c3_turnout_m2_adjacent_coef,-16.077
c3_turnout_m2_adjacent_se,50.347
c3_turnout_m2_constant_coef,224.736
c3_turnout_m2_constant_se,94.425
c3_turnout_m2_n,131
c3_turnout_m2_r2,0.736
c3_turnout_m2_treated_coef,-64.87
c3_turnout_m2_treated_se,56.283
c4_label_n_adjacent,44
c4_label_n_treated,20
c4_margin_m1_adjacent_coef,-1.17
c4_margin_m1_adjacent_se,22.994
c4_margin_m1_constant_coef,-124.637
c4_margin_m1_constant_se,16.563
c4_margin_m1_n,88
c4_margin_m1_r2,0.001
c4_margin_m1_treated_coef,5.859
c4_margin_m1_treated_se,26.721
c4_margin_m2_adjacent_coef,-6.031
c4_margin_m2_adjacent_se,12.054
c4_margin_m2_constant_coef,-19.087
c4_margin_m2_constant_se,22.042
c4_margin_m2_n,88
c4_margin_m2_r2,0.627
c4_margin_m2_treated_coef,-9.335
c4_margin_m2_treated_se,19.548
c4_turnout_m1_adjacent_coef,-21.082
c4_turnout_m1_adjacent_se,57.357
c4_turnout_m1_constant_coef,360.647
c4_turnout_m1_constant_se,46.072
c4_turnout_m1_n,88
c4_turnout_m1_r2,0.009
c4_turnout_m1_treated_coef,-47.222
c4_turnout_m1_treated_se,64.914
c4_turnout_m2_adjacent_coef,14.528
c4_turnout_m2_adjacent_se,22.331
c4_turnout_m2_constant_coef,5.229
c4_turnout_m2_constant_se,28.481
c4_turnout_m2_n,88
c4_turnout_m2_r2,0.877
c4_turnout_m2_treated_coef,7.223
c4_turnout_m2_treated_se,28.411
d5_e1_adjacent_coef,0.021
d5_e1_adjacent_se,0.014
d5_e1_adjacent_x_coef,0.011
d5_e1_adjacent_x_se,0.025
d5_e1_constant_coef,0.159
d5_e1_constant_se,0.11
d5_e1_n,88
d5_e1_r2,0.829
d5_e1_support_coef,0.027
d5_e1_support_se,0.042
d5_e1_treated_coef,0.031
d5_e1_treated_se,0.017
d5_e1_treated_x_coef,0.031
d5_e1_treated_x_se,0.03
d5_e2_adjacent_coef,0.011
d5_e2_adjacent_se,0.046
d5_e2_adjacent_x_coef,0.053
d5_e2_adjacent_x_se,0.033
d5_e2_constant_coef,0.306
d5_e2_constant_se,0.238
d5_e2_n,69
d5_e2_r2,0.277
d5_e2_support_coef,-0.02
d5_e2_support_se,0.033
d5_e2_treated_coef,-0.009
d5_e2_treated_se,0.06
d5_e2_treated_x_coef,0.033
d5_e2_treated_x_se,0.063
d5_e3_adjacent_coef,0.02
d5_e3_adjacent_se,0.007
d5_e3_adjacent_x_coef,0.008
d5_e3_adjacent_x_se,0.008
d5_e3_constant_coef,0.539
d5_e3_constant_se,0.045
d5_e3_n,131
d5_e3_r2,0.829
d5_e3_support_coef,0.028
d5_e3_support_se,0.009
d5_e3_treated_coef,0.02
d5_e3_treated_se,0.009
d5_e3_treated_x_coef,0.01
d5_e3_treated_x_se,0.008
d5_e4_adjacent_coef,-0.02
d5_e4_adjacent_se,0.021
d5_e4_adjacent_x_coef,-0.016
d5_e4_adjacent_x_se,0.02
d5_e4_constant_coef,0.477
d5_e4_constant_se,0.113
d5_e4_n,88
d5_e4_r2,0.181
d5_e4_support_coef,0.02
d5_e4_support_se,0.021
d5_e4_treated_coef,-0.014
d5_e4_treated_se,0.026
d5_e4_treated_x_coef,-0.021
d5_e4_treated_x_se,0.027
f2_agnostic_prior_mean,0
f2_agnostic_prior_pr,0.5
f2_agnostic_prior_sd,0.05
f2_agnostic_u1_mean,0.022101923416668084
f2_agnostic_u1_pr,0.9146630896847038
f2_agnostic_u1_sd,0.01613229735378258
f2_agnostic_u2_mean,0.019442324854014606
f2_agnostic_u2_pr,0.8946797483313458
f2_agnostic_u2_sd,0.01553141804612422
f2_agnostic_u3_mean,0.018621044927854997
f2_agnostic_u3_pr,0.9933037012153847
f2_agnostic_u3_sd,0.007529266694749107
f2_agnostic_u4_mean,0.016200775430087522
f2_agnostic_u4_pr,0.9875020871654463
f2_agnostic_u4_sd,0.007227754742964034
f2_optimist_prior_mean,0.05
f2_optimist_prior_pr,0.8413447460685429
f2_optimist_prior_sd,0.05
f2_optimist_u1_mean,0.02730694377488529
f2_optimist_u1_pr,0.9547425507176475
f2_optimist_u1_sd,0.01613229735378258
f2_optimist_u2_mean,0.024266823784484064
f2_optimist_u2_pr,0.9409071705144626
f2_optimist_u2_sd,0.01553141804612422
f2_optimist_u3_mean,0.01975484206706816
f2_optimist_u3_pr,0.9956514991902524
f2_optimist_u3_sd,0.007529266694749107
f2_optimist_u4_mean,0.017245584202576304
f2_optimist_u4_pr,0.9914841415308532
f2_optimist_u4_sd,0.007227754742964034
f2_skeptic_prior_mean,0
f2_skeptic_prior_pr,0.5
f2_skeptic_prior_sd,0.01
f2_skeptic_u1_mean,0.006317705717013482
f2_skeptic_u1_pr,0.7680635878774599
f2_skeptic_u1_sd,0.008625035270111424
f2_skeptic_u2_mean,0.005863611318142465
f2_skeptic_u2_pr,0.7541026239948323
f2_skeptic_u2_sd,0.008529421940395472
f2_skeptic_u3_mean,0.01205852356028039
f2_skeptic_u3_pr,0.9767154675246812
f2_skeptic_u3_sd,0.006058954968642456
f2_skeptic_u4_mean,0.010789668224001174
f2_skeptic_u4_pr,0.9663174904930414
f2_skeptic_u4_sd,0.005898472400527377
t2_e1_adjacent,49
t2_e1_control,16
t2_e1_total,88
t2_e1_treated,23
t2_e2_adjacent,41
t2_e2_control,13
t2_e2_total,69
t2_e2_treated,15
t2_e3_adjacent,76
t2_e3_control,25
t2_e3_total,131
t2_e3_treated,30
t2_e4_adjacent,44
t2_e4_control,24
t2_e4_total,88
t2_e4_treated,20
t3_label_n_adjacent,49
t3_label_n_treated,23
t3_m1_adjacent_coef,0.037
t3_m1_adjacent_se,0.027
