paper_id,table_figure,claim,experiment,arm,model,quantity,value_script,value_paper,match,notes,value_rewrite,match_rewrite,defect_locus
green_etal_2016,table_2,all | Control | n | N,all,Control,n,N,16,16,1,Exp 1 control,16,1,
green_etal_2016,table_2,all | Adjacent | n | N,all,Adjacent,n,N,49,49,1,Exp 1 adjacent,49,1,
green_etal_2016,table_2,all | Treated | n | N,all,Treated,n,N,23,23,1,Exp 1 treated,23,1,
green_etal_2016,table_2,all | Control | n | N,all,Control,n,N,13,13,1,Exp 2 control,13,1,
green_etal_2016,table_2,all | Adjacent | n | N,all,Adjacent,n,N,41,41,1,Exp 2 adjacent,41,1,
green_etal_2016,table_2,all | Treated | n | N,all,Treated,n,N,15,15,1,Exp 2 treated,15,1,
green_etal_2016,table_2,all | Control | n | N,all,Control,n,N,25,25,1,Exp 3 control,25,1,
green_etal_2016,table_2,all | Adjacent | n | N,all,Adjacent,n,N,76,76,1,Exp 3 adjacent,76,1,
green_etal_2016,table_2,all | Treated | n | N,all,Treated,n,N,30,30,1,Exp 3 treated,30,1,
green_etal_2016,table_2,all | Control | n | N,all,Control,n,N,24,24,1,Exp 4 control,24,1,
green_etal_2016,table_2,all | Adjacent | n | N,all,Adjacent,n,N,44,44,1,Exp 4 adjacent,44,1,
green_etal_2016,table_2,all | Treated | n | N,all,Treated,n,N,20,20,1,Exp 4 treated,20,1,
green_etal_2016,table_3,1 | Treated | M1 | coef,1,Treated,M1,coef,0.025,0.025,1,Vote share Exp 1 model 1,0.0251849231150561,1,
green_etal_2016,table_3,1 | Treated | M1 | SE,1,Treated,M1,SE,0.027,0.027,1,,0.0271953497940833,1,
green_etal_2016,table_3,1 | Adjacent | M1 | coef,1,Adjacent,M1,coef,0.037,0.037,1,,0.0365245556057411,1,
green_etal_2016,table_3,1 | Adjacent | M1 | SE,1,Adjacent,M1,SE,0.027,0.027,1,,0.0273484964987663,1,
green_etal_2016,table_3,1 | Treated | M2 | coef,1,Treated,M2,coef,0.025,0.025,1,Vote share Exp 1 model 2 (covariate-adjusted),0.0246700898107479,1,
green_etal_2016,table_3,1 | Treated | M2 | SE,1,Treated,M2,SE,0.017,0.017,1,,0.0170438046883578,1,
green_etal_2016,table_3,1 | Adjacent | M2 | coef,1,Adjacent,M2,coef,0.018,0.018,1,,0.0176924658008986,1,
green_etal_2016,table_3,1 | Adjacent | M2 | SE,1,Adjacent,M2,SE,0.016,0.016,1,,0.0156295800079384,1,
green_etal_2016,table_3,1 | all | M1 | N,1,all,M1,N,88,88,1,,88,1,
green_etal_2016,table_3,1 | all | M1 | R2,1,all,M1,R2,0.031,0.031,1,,0.0314509025405569,1,
green_etal_2016,table_3,1 | all | M2 | R2,1,all,M2,R2,0.823,0.823,1,,0.822500240891992,1,
green_etal_2016,table_4,2 | Treated | M1 | coef,2,Treated,M1,coef,0.13,0.009,0,Vote share Exp 2 model 1: R 3.6 sample() change: script selects column 8243 not 7210,0.00850373305360868,1,
green_etal_2016,table_4,2 | Treated | M1 | SE,2,Treated,M1,SE,0.08,0.054,0,,0.0539779334852138,1,
green_etal_2016,table_4,2 | Adjacent | M1 | coef,2,Adjacent,M1,coef,0.137,0.012,0,,0.0117388512564832,1,
green_etal_2016,table_4,2 | Adjacent | M1 | SE,2,Adjacent,M1,SE,0.072,0.046,0,,0.0463818505970431,1,
green_etal_2016,table_4,2 | Treated | M2 | coef,2,Treated,M2,coef,0.019,-0.014,0,Vote share Exp 2 model 2: R 3.6 sample() change,-0.0142778009663527,1,
green_etal_2016,table_4,2 | Treated | M2 | SE,2,Treated,M2,SE,0.053,0.057,0,,0.0574424251287565,1,
green_etal_2016,table_4,2 | Adjacent | M2 | coef,2,Adjacent,M2,coef,0.028,0.004,0,,0.00428044547072836,1,
green_etal_2016,table_4,2 | Adjacent | M2 | SE,2,Adjacent,M2,SE,0.035,0.045,0,,0.0453949744301064,1,
green_etal_2016,table_4,2 | all | M1 | N,2,all,M1,N,69,69,1,,69,1,
green_etal_2016,table_4,2 | all | M1 | R2,2,all,M1,R2,0.13,0.001,0,,0.00108065739965002,1,
green_etal_2016,table_5,3 | Treated | M1 | coef,3,Treated,M1,coef,0.042,0.042,1,Vote share Exp 3 model 1,0.0415499685697058,1,
green_etal_2016,table_5,3 | Treated | M1 | SE,3,Treated,M1,SE,0.016,0.016,1,,0.0159171166363333,1,
green_etal_2016,table_5,3 | Adjacent | M1 | coef,3,Adjacent,M1,coef,0.042,0.042,1,,0.042377169733312,1,
green_etal_2016,table_5,3 | Adjacent | M1 | SE,3,Adjacent,M1,SE,0.013,0.013,1,,0.0132163225089229,1,
green_etal_2016,table_5,3 | Treated | M2 | coef,3,Treated,M2,coef,0.018,0.018,1,Vote share Exp 3 model 2,0.0183687447195372,1,
green_etal_2016,table_5,3 | Treated | M2 | SE,3,Treated,M2,SE,0.009,0.009,1,,0.00860843709003946,1,
green_etal_2016,table_5,3 | Adjacent | M2 | coef,3,Adjacent,M2,coef,0.018,0.018,1,,0.0184661680108188,1,
green_etal_2016,table_5,3 | Adjacent | M2 | SE,3,Adjacent,M2,SE,0.007,0.007,1,,0.0065603412388164,1,
green_etal_2016,table_5,3 | all | M1 | N,3,all,M1,N,131,131,1,,131,1,
green_etal_2016,table_5,3 | all | M1 | R2,3,all,M1,R2,0.094,0.094,1,,0.0939464783867885,1,
green_etal_2016,table_5,3 | all | M2 | R2,3,all,M2,R2,0.825,0.825,1,,0.825105729313222,1,
green_etal_2016,table_6,4 | Treated | M1 | coef,4,Treated,M1,coef,-0.013,-0.013,1,Vote share Exp 4 model 1,-0.0134254300332048,1,
green_etal_2016,table_6,4 | Treated | M1 | SE,4,Treated,M1,SE,0.028,0.028,1,,0.0276296540671851,1,
green_etal_2016,table_6,4 | Adjacent | M1 | coef,4,Adjacent,M1,coef,-0.023,-0.023,1,,-0.0234889507102779,1,
green_etal_2016,table_6,4 | Adjacent | M1 | SE,4,Adjacent,M1,SE,0.022,0.022,1,,0.0217799790242458,1,
green_etal_2016,table_6,4 | Treated | M2 | coef,4,Treated,M2,coef,-0.012,-0.012,1,Vote share Exp 4 model 2,-0.0122155097107169,1,
green_etal_2016,table_6,4 | Treated | M2 | SE,4,Treated,M2,SE,0.026,0.026,1,,0.0257990947698161,1,
