id,Z_obs,condition_obs,condition_label
001-01,0,2,adjacent
001-02,1,3,treated
001-03,0,2,adjacent
001-04,0,2,adjacent
001-05,1,3,treated
001-06,0,2,adjacent
001-07,1,3,treated
001-08,1,3,treated
001-09,0,1,control
002-01,0,2,adjacent
002-02,1,3,treated
002-03,0,2,adjacent
002-04,0,2,adjacent
002-05,0,2,adjacent
002-06,0,1,control
002-07,0,2,adjacent
002-08,0,2,adjacent
002-09,1,3,treated
002-10,0,2,adjacent
002-11,0,2,adjacent
003-01,1,3,treated
003-02,0,2,adjacent
003-03,0,2,adjacent
003-04,0,2,adjacent
003-05,0,2,adjacent
003-06,1,3,treated
003-07,1,3,treated
003-08,1,3,treated
003-09,1,3,treated
004-01,0,2,adjacent
004-02,0,2,adjacent
004-03,1,3,treated
004-04,1,3,treated
004-05,0,2,adjacent
004-06,1,3,treated
004-07,0,2,adjacent
004-08,0,2,adjacent
005-01,1,3,treated
005-02,0,2,adjacent
005-03,1,3,treated
005-04,1,3,treated
005-05,1,3,treated
005-06,1,3,treated
005-07,1,3,treated
006-01,0,1,control
006-02,0,1,control
006-03,0,1,control
006-04,0,1,control
006-05,0,2,adjacent
006-06,0,2,adjacent
006-07,0,2,adjacent
006-08,0,1,control
007-01,0,2,adjacent
007-02,0,2,adjacent
007-03,0,2,adjacent
007-04,0,2,adjacent
007-05,1,3,treated
007-06,0,2,adjacent
007-07,0,2,adjacent
007-08,0,2,adjacent
007-09,0,2,adjacent
008-01,0,1,control
008-02,0,2,adjacent
008-03,0,1,control
008-04,0,2,adjacent
008-05,0,2,adjacent
008-06,1,3,treated
008-07,0,2,adjacent
008-08,1,3,treated
008-09,0,2,adjacent
009-01,0,1,control
009-02,0,2,adjacent
009-03,1,3,treated
009-04,0,2,adjacent
009-05,1,3,treated
009-06,0,2,adjacent
009-07,0,2,adjacent
009-08,0,2,adjacent
009-09,0,2,adjacent
010-01,0,1,control
010-02,0,2,adjacent
010-03,0,2,adjacent
010-04,0,1,control
010-05,0,2,adjacent
010-06,0,1,control
010-07,0,2,adjacent
010-08,1,3,treated
011-01,0,1,control
011-02,0,2,adjacent
011-03,0,2,adjacent
011-04,1,3,treated
011-05,0,2,adjacent
011-06,0,2,adjacent
011-07,0,2,adjacent
011-08,0,2,adjacent
011-09,0,2,adjacent
011-10,0,2,adjacent
012-01,0,2,adjacent
012-02,1,3,treated
012-03,0,2,adjacent
012-04,0,1,control
012-05,0,1,control
012-06,0,2,adjacent
012-07,0,2,adjacent
012-08,1,3,treated
013-01,0,1,control
013-02,0,2,adjacent
013-03,0,2,adjacent
013-04,0,2,adjacent
013-05,0,1,control
013-06,0,2,adjacent
013-07,1,3,treated
014-01,1,3,treated
014-02,0,2,adjacent
014-03,0,2,adjacent
014-04,1,3,treated
014-05,0,2,adjacent
014-06,0,2,adjacent
014-07,0,2,adjacent
014-08,1,3,treated
015-01,0,2,adjacent
015-02,0,1,control
015-03,0,1,control
015-04,0,1,control
015-05,0,2,adjacent
015-06,0,2,adjacent
015-07,0,2,adjacent
015-08,1,3,treated
