term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,experiment,model,n,r2
(Intercept),-95.07393410368405,23.802885975257276,-3.9942187767698383,1.3747275653624343e-4,-142.40044839362773,-47.74741981374037,85,margin,Experiment 1,M1,88,0.014726460238883132
condition_factorTreated,15.582088291986617,28.326902454745827,0.5500809104306436,0.583706499516925,-40.739382777022236,71.90355936099547,85,margin,Experiment 1,M1,88,0.014726460238883132
condition_factorAdjacent,-9.241620759835108,27.30535124513007,-0.3384545643405103,0.7358552621815285,-63.531974342920414,45.0487328232502,85,margin,Experiment 1,M1,88,0.014726460238883132
(Intercept),-60.87896632714621,15.422881883463223,-3.94731456722249,1.675098306100954e-4,-91.56566347896421,-30.192269175328203,81,margin,Experiment 1,M2,88,0.6660705156050595
condition_factorTreated,34.786279118012885,18.207373542173652,1.9105599738170689,0.05959961548471396,-1.440683004921091,71.01324124094685,81,margin,Experiment 1,M2,88,0.6660705156050595
condition_factorAdjacent,11.713062582989853,17.88479071778628,0.6549175088384628,0.5143764216277298,-23.87206090607847,47.29818607205817,81,margin,Experiment 1,M2,88,0.6660705156050595
(Intercept),448.8345510685992,34.76222562082296,12.911559690232902,9.662002713896972e-22,379.7179334742344,517.9511686629639,85,turnout,Experiment 1,M1,88,0.06635129325030864
condition_factorTreated,53.00174307956092,48.74801779419254,1.0872594513140414,0.27999567316041196,-43.92237625376064,149.92586241288248,85,turnout,Experiment 1,M1,88,0.06635129325030864
condition_factorAdjacent,110.32933998873212,52.79591639404581,2.089732455163422,0.03963057582916826,5.356913776600322,215.3017662008639,85,turnout,Experiment 1,M1,88,0.06635129325030864
(Intercept),32.503877155098834,19.343433501813024,1.6803571688579644,0.09674072134835385,-5.983487932156599,70.99124224235428,81,turnout,Experiment 1,M2,88,0.9586829635731263
condition_factorTreated,10.331378876489415,15.740980626936365,0.6563364202869355,0.5134679478036669,-20.98823499472593,41.650992747704755,81,turnout,Experiment 1,M2,88,0.9586829635731263
condition_factorAdjacent,11.913758366428848,11.75860071305897,1.013195248070424,0.31398391657993285,-11.482168655335165,35.30968538819286,81,turnout,Experiment 1,M2,88,0.9586829635731263
(Intercept),32.414785040337186,9.733040197984257,3.3303864343486826,0.0014228538322174262,12.982143292809255,51.84742678786512,66,margin,Experiment 2,M1,69,0.04756515239352899
condition_factorTreated,24.67298370538242,17.195614263283137,1.4348416594843783,0.15605407252390033,-9.659167894717555,59.0051353054824,66,margin,Experiment 2,M1,69,0.04756515239352899
condition_factorAdjacent,21.43633326537814,12.565167920250278,1.7060124784190835,0.09270783191808571,-3.650833922354586,46.52350045311086,66,margin,Experiment 2,M1,69,0.04756515239352899
(Intercept),-30.99261240441678,15.628680142738189,-1.9830601254461906,0.05172412075577357,-62.224037559739344,0.23881275090579024,63,margin,Experiment 2,M2,69,0.5014586161903034
condition_factorTreated,4.427068943343274,14.470401349157903,0.3059396098644427,0.76065933461183,-24.489720739225795,33.34385862591235,63,margin,Experiment 2,M2,69,0.5014586161903034
condition_factorAdjacent,5.563074524689106,12.363148740947807,0.44997230408332195,0.6542749462151864,-19.142706837561153,30.268855886939367,63,margin,Experiment 2,M2,69,0.5014586161903034
(Intercept),92.7759219787044,11.92732601729661,7.77843431496413,6.5989176505998e-11,68.9622472393258,116.589596718083,66,turnout,Experiment 2,M1,69,0.0674438218886253
condition_factorTreated,38.40740178143983,23.037467324990025,1.6671711885523623,0.10021922349964944,-7.588385782411748,84.40318934529141,66,turnout,Experiment 2,M1,69,0.0674438218886253
condition_factorAdjacent,33.19050670299451,15.131205184607248,2.1935137550549326,0.03179789584842854,2.9800808155409335,63.40093259044809,66,turnout,Experiment 2,M1,69,0.0674438218886253
(Intercept),-43.40244134599911,15.695116311126428,-2.765346907001299,0.007450730235743852,-74.76662859010163,-12.038254101896587,63,turnout,Experiment 2,M2,69,0.6947306920948547
condition_factorTreated,9.029496124238744,13.372053162793787,0.6752512882137118,0.5019870464573486,-17.692419847714785,35.75141209619227,63,turnout,Experiment 2,M2,69,0.6947306920948547
