mean,se,time,scenario,pr_pos,facet
0,0.05,Prior,Agnostic,0.5,"N(0.000, 0.050)
pr(ATE>0)=0.500"
0.02210192341666807,0.016132297353782684,Update 1,Agnostic,0.9146630896847023,"N(0.022, 0.016)
pr(ATE>0)=0.915"
0.01944232485401457,0.015531418046124316,Update 2,Agnostic,0.894679748331344,"N(0.019, 0.016)
pr(ATE>0)=0.895"
0.018621044927855008,0.007529266694749146,Update 3,Agnostic,0.9933037012153845,"N(0.019, 0.008)
pr(ATE>0)=0.993"
0.01620077543008751,0.00722775474296407,Update 4,Agnostic,0.9875020871654459,"N(0.016, 0.007)
pr(ATE>0)=0.988"
0.05,0.05,Prior,Optimist,0.8413447460685429,"N(0.050, 0.050)
pr(ATE>0)=0.841"
0.027306943774885347,0.016132297353782684,Update 1,Optimist,0.9547425507176468,"N(0.027, 0.016)
pr(ATE>0)=0.955"
0.024266823784484092,0.015531418046124316,Update 2,Optimist,0.9409071705144617,"N(0.024, 0.016)
pr(ATE>0)=0.941"
0.019754842067068182,0.007529266694749146,Update 3,Optimist,0.9956514991902523,"N(0.020, 0.008)
pr(ATE>0)=0.996"
0.017245584202576304,0.00722775474296407,Update 4,Optimist,0.9914841415308528,"N(0.017, 0.007)
pr(ATE>0)=0.991"
0,0.01,Prior,Skeptic,0.5,"N(0.000, 0.010)
pr(ATE>0)=0.500"
0.006317705717013418,0.00862503527011144,Update 1,Skeptic,0.7680635878774572,"N(0.006, 0.009)
pr(ATE>0)=0.768"
0.005863611318142403,0.008529421940395488,Update 2,Skeptic,0.7541026239948296,"N(0.006, 0.009)
pr(ATE>0)=0.754"
0.012058523560280355,0.006058954968642476,Update 3,Skeptic,0.9767154675246805,"N(0.012, 0.006)
pr(ATE>0)=0.977"
0.010789668224001134,0.005898472400527396,Update 4,Skeptic,0.9663174904930404,"N(0.011, 0.006)
pr(ATE>0)=0.966"
