experiment,arm,estimate,std.error
Experiment 1,Adjacent,0.017692465800898644,0.01562958000793841
Experiment 2,Adjacent,0.004280445470728365,0.045394974430106434
Experiment 3,Adjacent,0.018466168010818795,0.006560341238816372
Experiment 4,Adjacent,-0.02026154601737024,0.02052071476428034
Pooled,Adjacent,0.015086801085319464,0.00575541650555254
Experiment 1,Treated,0.0246700898107479,0.017043804688357856
Experiment 2,Treated,-0.014277800966352734,0.05744242512875655
Experiment 3,Treated,0.018368744719537193,0.008608437090039438
Experiment 4,Treated,-0.012215509710716855,0.025799094769816067
Pooled,Treated,0.01654653472273968,0.007304475451535235
