term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,experiment,n,r2
condition_factorTreated,0.03133230036097609,0.017067733370840707,1.8357622351017986,0.0701555893748795,-0.002640173115165574,0.06530477383711775,79,share,Experiment 1,88,0.8288599474563577
condition_factorAdjacent,0.020934433870473085,0.014475880000320903,1.4461596718133203,0.15208828886522818,-0.007879084519431766,0.04974795226037794,79,share,Experiment 1,88,0.8288599474563577
party_share,0.026635163033526765,0.04158661626206071,0.640474398438276,0.5237176558678321,-0.056140926048051654,0.10941125211510519,79,share,Experiment 1,88,0.8288599474563577
condition_factorTreated:party_share,0.031023264962771774,0.02966687454381363,1.0457207049888237,0.2988791363526582,-0.028027171709832904,0.09007370163537645,79,share,Experiment 1,88,0.8288599474563577
condition_factorAdjacent:party_share,0.011044077949675716,0.02531859631858515,0.4362041959478139,0.6638783376140517,-0.039351327415383844,0.06143948331473528,79,share,Experiment 1,88,0.8288599474563577
condition_factorTreated,-0.009399869312051147,0.05987008481905474,-0.15700444287761336,0.8757598611197311,-0.12911750295188046,0.11031776432777818,61,share,Experiment 2,69,0.2772017234010027
condition_factorAdjacent,0.010608365173077191,0.04608126847049828,0.23020992097621573,0.8186989346732348,-0.08153682608701485,0.10275355643316922,61,share,Experiment 2,69,0.2772017234010027
party_share,-0.020428048910241914,0.032792525765868476,-0.6229483223126439,0.5356406119692488,-0.08600075684322675,0.04514465902274292,61,share,Experiment 2,69,0.2772017234010027
condition_factorTreated:party_share,0.03349824285038543,0.06266006473887353,0.5346027488159222,0.5948678869411577,-0.09179830043877582,0.1587947861395467,61,share,Experiment 2,69,0.2772017234010027
condition_factorAdjacent:party_share,0.05302708281461518,0.0325277799933964,1.63020909589835,0.10821070384985776,-0.012016233227706792,0.11807039885693715,61,share,Experiment 2,69,0.2772017234010027
condition_factorTreated,0.019571814445506742,0.009143393190004808,2.140541704681569,0.034268766672988886,0.0014744781062301267,0.03766915078478336,124,share,Experiment 3,131,0.8292941530649983
condition_factorAdjacent,0.019782348863846555,0.007236959450147157,2.733516610134426,0.007183186136774452,0.005458378919494794,0.03410631880819832,124,share,Experiment 3,131,0.8292941530649983
party_share,0.02776889533045185,0.008689691180276685,3.195613601721537,0.001770001185399311,0.010569562357893768,0.044968228303009936,124,share,Experiment 3,131,0.8292941530649983
condition_factorTreated:party_share,0.009565244332112744,0.00796075742621701,1.2015495285174382,0.2318279583725543,-0.006191324554712902,0.02532181321893839,124,share,Experiment 3,131,0.8292941530649983
condition_factorAdjacent:party_share,0.007670861361531504,0.0077967575316686055,0.9838527529391877,0.3271037025947704,-0.007761105794889195,0.0231028285179522,124,share,Experiment 3,131,0.8292941530649983
condition_factorTreated,-0.013850957203316585,0.026408667044219892,-0.5244852828097648,0.6014477483242304,-0.06643733153146783,0.03873541712483466,77,share,Experiment 4,88,0.181181057025949
condition_factorAdjacent,-0.019944616895274287,0.021110936357449154,-0.9447528313085306,0.3477402317683791,-0.061981861707809366,0.022092627917260795,77,share,Experiment 4,88,0.181181057025949
party_share,0.020485916463215976,0.020655814568875643,0.9917748048573368,0.3244138301279531,-0.02064506508738508,0.061616898013817034,77,share,Experiment 4,88,0.181181057025949
condition_factorTreated:party_share,-0.020656235475708266,0.026658299617430353,-0.7748519512550727,0.4408001425590382,-0.07373969176249695,0.03242722081108042,77,share,Experiment 4,88,0.181181057025949
condition_factorAdjacent:party_share,-0.01577503459713093,0.020312088029906968,-0.7766328392189022,0.4397546761365123,-0.05622156916619898,0.02467149997193712,77,share,Experiment 4,88,0.181181057025949
