file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
exp_1.RData,2769047,doi:10.7910/DVN/K2TLDB/HAOPC0,396197,6d1ebad0bf53ced2923304c00a6028b1,6d1ebad0bf53ced2923304c00a6028b1,UNF:6:ZiUt7PGXz68YhTvWZ1tFfg==,exp_1.tab
exp_2.RData,2769075,doi:10.7910/DVN/K2TLDB/VNZ5KM,433020,b2f2eb8304360b09adc17dbe3e860f69,b2f2eb8304360b09adc17dbe3e860f69,UNF:6:cOw6mnjwYBU70KG09+ugvA==,exp_2.tab
exp_3.RData,2769076,doi:10.7910/DVN/K2TLDB/GBK7SQ,542062,996a30adec5a4a990bdd2556d1bbd8f4,996a30adec5a4a990bdd2556d1bbd8f4,UNF:6:LJp8DrQYonNoTILPIZbGVA==,exp_3.tab
exp_4.RData,2769045,doi:10.7910/DVN/K2TLDB/ESOQWB,696599,73df5d97641a6aa09ba47f357233c5a8,73df5d97641a6aa09ba47f357233c5a8,UNF:6:Wq/x2qAWlQiW+TBspRnbjw==,exp_4.tab
Experiment_1_Adjacencies.rdata,2769063,doi:10.7910/DVN/K2TLDB/NITNT0,3075,97b9c17cfffb4f23b923a39be32909bd,97b9c17cfffb4f23b923a39be32909bd,,Experiment_1_Adjacencies.rdata
Experiment_1_Analysis.R,2769072,doi:10.7910/DVN/K2TLDB/6ROGUG,11617,e290066f5eee7fc89e6cb1adbff2800b,e290066f5eee7fc89e6cb1adbff2800b,,Experiment_1_Analysis.R
Experiment_1_Permutation_Matrix.rdata,2769062,doi:10.7910/DVN/K2TLDB/WSQHRN,614239,d90123ef810e9c9d0131a92038bae897,d90123ef810e9c9d0131a92038bae897,,Experiment_1_Permutation_Matrix.rdata
Experiment_1_RA_Function.R,2769044,doi:10.7910/DVN/K2TLDB/8PHEHW,2583,5455251c8e9e078a7451960bf66e8e58,5455251c8e9e078a7451960bf66e8e58,,Experiment_1_RA_Function.R
Experiment_1_Results.RData,2769059,doi:10.7910/DVN/K2TLDB/VKEONQ,13658,9cc4d8c96685f904f36363bf230ca75a,9cc4d8c96685f904f36363bf230ca75a,UNF:6:PXSO6ljIxzv/f93Sz9Y0HA==,Experiment_1_Results.tab
Experiment_2_Analysis.R,2769056,doi:10.7910/DVN/K2TLDB/SGSGPY,9022,e6846443ed5227ce37a1f3f92e2d9ce0,e6846443ed5227ce37a1f3f92e2d9ce0,,Experiment_2_Analysis.R
Experiment_2_Past_Elections.RData,2769071,doi:10.7910/DVN/K2TLDB/8SU5NU,3629,d2fa7e32ae567afc9056e075fcbee139,d2fa7e32ae567afc9056e075fcbee139,UNF:6:1Tx7FE5eNLpkKFrWvv8Cqw==,Experiment_2_Past_Elections.tab
Experiment_2_Permutation_Matrix.rdata,2769052,doi:10.7910/DVN/K2TLDB/XFLIAT,7521951,90738c5dea175f7cebb4e409c2fc74f5,90738c5dea175f7cebb4e409c2fc74f5,,Experiment_2_Permutation_Matrix.rdata
Experiment_2_RA_Function.R,2769070,doi:10.7910/DVN/K2TLDB/9NG0ZN,3286,5980b9f3315690f88ca6198d091768ca,5980b9f3315690f88ca6198d091768ca,,Experiment_2_RA_Function.R
Experiment_2_Results.RData,2769074,doi:10.7910/DVN/K2TLDB/D9EYZS,1997,1d0980e52aded3e0450428737f2122b0,1d0980e52aded3e0450428737f2122b0,UNF:6:ZAmUPudz9o4A4WclpT3oDA==,Experiment_2_Results.tab
Experiment_3_Adjacencies.rdata,2769069,doi:10.7910/DVN/K2TLDB/9MPAUA,1544,2675709eaf84a993bf63581677dca2b5,2675709eaf84a993bf63581677dca2b5,,Experiment_3_Adjacencies.rdata
Experiment_3_Analysis.R,2769050,doi:10.7910/DVN/K2TLDB/FJISSP,9133,01af8662f73986307264b9def2598196,01af8662f73986307264b9def2598196,,Experiment_3_Analysis.R
Experiment_3_Data_with_Random_Assignment.RData,2769065,doi:10.7910/DVN/K2TLDB/LIHEYS,832740,505d6cb6688fb25705f528a9366d4eae,505d6cb6688fb25705f528a9366d4eae,UNF:6:IhMUSOovkATAx8vZ0dr+jw==,Experiment_3_Data_with_Random_Assignment.tab
Experiment_3_Past_Elections.RData,2769048,doi:10.7910/DVN/K2TLDB/D4DIE9,7754,0f6965fd174e2f069a852c9eb00c61d0,0f6965fd174e2f069a852c9eb00c61d0,UNF:6:A/qZfr+MBKZz1on5Czygbg==,Experiment_3_Past_Elections.tab
Experiment_3_RA_Function.R,2769060,doi:10.7910/DVN/K2TLDB/ARRX3G,3828,24e0e0a09e4d6374b9dd899bfd0d6fc8,24e0e0a09e4d6374b9dd899bfd0d6fc8,,Experiment_3_RA_Function.R
Experiment_3_Results.RData,2769058,doi:10.7910/DVN/K2TLDB/WOJQYC,5158,83348777a6b0f29ad88a4cd018d464f0,83348777a6b0f29ad88a4cd018d464f0,UNF:6:eZV0PxgoUsxGFwbyarF/gQ==,Experiment_3_Results.tab
Experiment_4_Adjacencies.rdata,2769049,doi:10.7910/DVN/K2TLDB/13MVIN,1559,d5703a47e991a880646e1b27a2d649d6,d5703a47e991a880646e1b27a2d649d6,,Experiment_4_Adjacencies.rdata
Experiment_4_Analysis.R,2769066,doi:10.7910/DVN/K2TLDB/4RJ0D0,8279,4e4fadf38cf038b9e69f8c215f195dd7,4e4fadf38cf038b9e69f8c215f195dd7,,Experiment_4_Analysis.R
Experiment_4_Data_with_Random_Assignment.RData,2769073,doi:10.7910/DVN/K2TLDB/5HUH6Z,342606,db8b0fbd302b6ff6ac1684098dbb50f9,db8b0fbd302b6ff6ac1684098dbb50f9,UNF:6:4d6ShHNt683znCELAgJ46g==,Experiment_4_Data_with_Random_Assignment.tab
Experiment_4_Exclusions.RData,2769046,doi:10.7910/DVN/K2TLDB/BBIQPF,830,d25a836bd4f11a7ab97072b72025e84c,d25a836bd4f11a7ab97072b72025e84c,UNF:6:h1aEkJGTI5dXp8zIaWRM+w==,Experiment_4_Exclusions.tab
Experiment_4_Past_Elections.RData,2769064,doi:10.7910/DVN/K2TLDB/CDTDFG,380709,a7a9e3298e542fa75d6ce8f3e921a3fd,a7a9e3298e542fa75d6ce8f3e921a3fd,UNF:6:wgIPjASZsratfsrjVLojfQ==,Experiment_4_Past_Elections.tab
Experiment_4_Permutation_Matrix.rdata,2769067,doi:10.7910/DVN/K2TLDB/AJTVZE,557279,61d276c5338a27b7a178dd2bcc2e0658,61d276c5338a27b7a178dd2bcc2e0658,,Experiment_4_Permutation_Matrix.rdata
Experiment_4_RA_Function.R,2769053,doi:10.7910/DVN/K2TLDB/OFN5CS,4121,e75549ab2f82dd7c55e028c9ecfdcac6,e75549ab2f82dd7c55e028c9ecfdcac6,,Experiment_4_RA_Function.R
Experiment_4_Results.RData,2769055,doi:10.7910/DVN/K2TLDB/UNS2LC,1920,212b7a5fb0040805bfd6918459a8abd7,212b7a5fb0040805bfd6918459a8abd7,UNF:6:YZyY/jhAHbpLi56zM2UBCw==,Experiment_4_Results.tab
in_text_calculations.R,2769068,doi:10.7910/DVN/K2TLDB/TWMOKK,3892,e2b08edbc4d00608abb317c73b973c5f,e2b08edbc4d00608abb317c73b973c5f,,in_text_calculations.R
Lawn_Signs_Source.R,2769061,doi:10.7910/DVN/K2TLDB/AF6J9Z,2674,c27ed9cc72a660668c7032bf2894c984,c27ed9cc72a660668c7032bf2894c984,,Lawn_Signs_Source.R
meta_results.tex,2769054,doi:10.7910/DVN/K2TLDB/CWCKDO,383,61a96d5dde373bdcf820c81cd17d4f04,61a96d5dde373bdcf820c81cd17d4f04,,meta_results.tex
Pooled_analysis.R,2769057,doi:10.7910/DVN/K2TLDB/KN8G0P,12111,8a5a1c0f95cf09ad00b4f1e9aa98c1df,8a5a1c0f95cf09ad00b4f1e9aa98c1df,,Pooled_analysis.R
README.txt,2769051,doi:10.7910/DVN/K2TLDB/PXY57L,3735,5c8675bb6fd3eaefddd0cade6c64e811,5c8675bb6fd3eaefddd0cade6c64e811,,README.txt
